Name,Business Id,Rating,Url,State,Country,Latitude,Longitude,Lookup,Concatenated Key,Check
Stone Mountain Park,MupbOzw9K8NsYR3faT5nkg,4,https://www.yelp.com/biz/stone-mountain-park-stone-mountain-5?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.8,-84.14,#N/A,33.8-84.14,#N/A
Chattahoochee River National Recreation Area - East Palisades,Igui6fW6KZpPKxOVH1fnCA,4.5,https://www.yelp.com/biz/chattahoochee-river-national-recreation-area-east-palisades-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.89,-84.43,#N/A,33.89-84.43,#N/A
Sweetwater Creek State Park,IXmKPmG-aBd2YEyQKODabQ,4.5,https://www.yelp.com/biz/sweetwater-creek-state-park-lithia-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.75,-84.63,#N/A,33.75-84.63,#N/A
Chattahoochee River National Recreation Area,WBMNxHJP0KJgeA7JlDFQmA,4.5,https://www.yelp.com/biz/chattahoochee-river-national-recreation-area-atlanta-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.99,-84.33,Chattahoochee River National Recreation Area,33.99-84.33,#N/A
Chattahoochee River National Recreation Area Vickery Creek,6kcZC1VkT3P2RhKTJorupA,4.5,https://www.yelp.com/biz/chattahoochee-river-national-recreation-area-vickery-creek-roswell?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,34.02,-84.35,#N/A,34.02-84.35,#N/A
Centennial Olympic Park,gIFLuGFSR0briskbdji5aw,4,https://www.yelp.com/biz/centennial-olympic-park-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.76,-84.39,#N/A,33.76-84.39,#N/A
McDaniel Farm Park,Zj43C_mmvneEvVwUIfWdPw,5,https://www.yelp.com/biz/mcdaniel-farm-park-duluth?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.97,-84.13,#N/A,33.97-84.13,#N/A
Kennesaw Mountain,OLenXd-hm-sT2AHgTNVLqg,4.5,https://www.yelp.com/biz/kennesaw-mountain-kennesaw?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.98,-84.58,#N/A,33.98-84.58,#N/A
Whitewater Creek Trail,zHQGSoom2YbxvvyW8kZ2Bg,4.5,https://www.yelp.com/biz/whitewater-creek-trail-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.87,-84.44,#N/A,33.87-84.44,#N/A
Panola Mountain State Park,r1gn3XoWbo2Lr-FWVVOc1A,4.5,https://www.yelp.com/biz/panola-mountain-state-park-stockbridge-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.62,-84.17,#N/A,33.62-84.17,#N/A
Chattahoochee River National Recreation Area Palisades Unit,JfZ-4925u-MqdYMak2fgOQ,4.5,https://www.yelp.com/biz/chattahoochee-river-national-recreation-area-palisades-unit-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.87,-84.45,#N/A,33.87-84.45,#N/A
Sope Creek,LtvQg3YeazwafojJKOCoHA,4.5,https://www.yelp.com/biz/sope-creek-marietta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.94,-84.44,#N/A,33.94-84.44,#N/A
Skyline Park,6WHkk0um6lc0N8EOyTvhEw,3.5,https://www.yelp.com/biz/skyline-park-atlanta-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.77,-84.37,#N/A,33.77-84.37,#N/A
Cochran Shoals Trail,IIHJggY6NWdPNoswvIeX4Q,4.5,https://www.yelp.com/biz/cochran-shoals-trail-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.9,-84.44,#N/A,33.9-84.44,#N/A
Chattahoochee River Nation Recreation Area,q41RDQb_0YkZfLXHFxNJEg,4.5,https://www.yelp.com/biz/chattahoochee-river-nation-recreation-area-marietta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.92,-84.44,#N/A,33.92-84.44,#N/A
Grant Park,XJDgIJrchcMyvq9lhdD62g,4.5,https://www.yelp.com/biz/grant-park-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.73,-84.37,#N/A,33.73-84.37,#N/A
Jones Bridge Park,OmT_N_R4SunDlwvItoz9HA,4.5,https://www.yelp.com/biz/jones-bridge-park-norcross?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,34,-84.23,#N/A,34-84.23,#N/A
John Howell Memorial Park,qpQc0oZXiLDQuGOMKHq4nA,4.5,https://www.yelp.com/biz/john-howell-memorial-park-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.78,-84.36,#N/A,33.78-84.36,#N/A
Chattahoochee River National Recreation Area West Palisades,74oggayjcfLbEx6N1NIkDg,4.5,https://www.yelp.com/biz/chattahoochee-river-national-recreation-area-west-palisades-atlanta?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.89,-84.45,#N/A,33.89-84.45,#N/A
Henderson Park,b6leBi3ETtxCBXBNyjrPgw,4,https://www.yelp.com/biz/henderson-park-tucker?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,GA,US,33.86,-84.23,#N/A,33.86-84.23,#N/A
Mānoa Falls Trail,9SZqODANOiohNTJ4Wui9dg,4.5,https://www.yelp.com/biz/m%C4%81noa-falls-trail-honolulu-4?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.34,-157.8,#N/A,21.34-157.8,#N/A
Diamond Head State Monument,sDlYSTdgZCx0-3cRetKn8A,4.5,https://www.yelp.com/biz/diamond-head-state-monument-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.26,-157.8,#N/A,21.26-157.8,#N/A
Hanauma Bay Nature Preserve,QfR5BHFBskVs6woXQUvvyQ,4.5,https://www.yelp.com/biz/hanauma-bay-nature-preserve-honolulu-4?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.27,-157.69,#N/A,21.27-157.69,#N/A
Moanalua Gardens,weR1JqCw6sf7qr2STrEYJw,4.5,https://www.yelp.com/biz/moanalua-gardens-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.35,-157.89,#N/A,21.35-157.89,#N/A
Nu'uanu Pali State Park,xdBc7wecBUOqrgP_szkH9w,4.5,https://www.yelp.com/biz/nuuanu-pali-state-park-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.35,-157.82,#N/A,21.35-157.82,#N/A
Mount Tantalus,gFJ82MZJq4TIMppXvmSrkQ,4.5,https://www.yelp.com/biz/mount-tantalus-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.33,-157.81,#N/A,21.33-157.81,#N/A
Leahi Millennium Peace Circle Garden,wwLiIZJI99QghtckV5WATQ,5,https://www.yelp.com/biz/leahi-millennium-peace-circle-garden-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.27,-157.8,#N/A,21.27-157.8,#N/A
Makapu'u Point Lighthouse Trail,MASDSPRaWIkTiMn-udBTRA,4.5,https://www.yelp.com/biz/makapuu-point-lighthouse-trail-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.28,-157.68,#N/A,21.28-157.68,#N/A
Sandy Beach Park,nLHj4stG4nWlUklemYg96w,4.5,https://www.yelp.com/biz/sandy-beach-park-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.29,-157.67,#N/A,21.29-157.67,#N/A
Koko Crater Trail,dHAAiMN2_vY9VG6f29j5_Q,4.5,https://www.yelp.com/biz/koko-crater-trail-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.28,-157.7,#N/A,21.28-157.7,#N/A
Victoria Ward Park,HBk0zAwHQjDWNwWFxLE0ZQ,5,https://www.yelp.com/biz/victoria-ward-park-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.3,-157.85,#N/A,21.3-157.85,#N/A
Spitting Caves,npAbq0e0ucQranyL_HZvbg,4.5,https://www.yelp.com/biz/spitting-caves-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.26,-157.71,#N/A,21.26-157.71,#N/A
Lanikai Pillbox Hike,htr8PjFfvbrdPQcUIk98WA,4.5,https://www.yelp.com/biz/lanikai-pillbox-hike-kailua?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.39,-157.72,#N/A,21.39-157.72,#N/A
Aiea Loop Trail,YME1iPtP8oesgU3eleJc8A,4,https://www.yelp.com/biz/aiea-loop-trail-aiea?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.4,-157.9,#N/A,21.4-157.9,#N/A
Patsy T. Mink Central Oahu Regional Park,lvg0c-sqxFYSzGPX-VfYbQ,4.5,https://www.yelp.com/biz/patsy-t-mink-central-oahu-regional-park-waipahu-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.42,-158.01,#N/A,21.42-158.01,#N/A
Halona Blowhole,PuYZOBazVePUQ7Pm8rDd5g,4.5,https://www.yelp.com/biz/halona-blowhole-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.28,-157.68,#N/A,21.28-157.68,#N/A
Moanalua Middle Ridge,J7TIwL3w2enrGJV3cddLLg,5,https://www.yelp.com/biz/moanalua-middle-ridge-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.39,-157.85,#N/A,21.39-157.85,#N/A
Thomas Square,hw-8dOg8pLCfu3bgLvjepg,3,https://www.yelp.com/biz/thomas-square-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.3,-157.85,#N/A,21.3-157.85,#N/A
Kaka'ako Waterfront Park,e1yC4OD1wa2RWMidCC8VxA,4,https://www.yelp.com/biz/kakaako-waterfront-park-honolulu?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.29,-157.86,#N/A,21.29-157.86,#N/A
Laenani Neighborhood Park,FWSDC7KWIkezgPwLjtB2HQ,4.5,https://www.yelp.com/biz/laenani-neighborhood-park-kaneohe?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,HI,US,21.46,-157.83,#N/A,21.46-157.83,#N/A
Snake River RV Resort,_LSvUZDrPigB-0dkQNi1Tg,4,https://www.yelp.com/biz/snake-river-rv-resort-homedale-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,ID,US,43.6,-116.9,#N/A,43.6-116.9,#N/A
Deer Flat National Wildlife Refuge,l2XK3onhKpS_r8YxPS0rqQ,4,https://www.yelp.com/biz/deer-flat-national-wildlife-refuge-nampa?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,ID,US,43.56,-116.67,#N/A,43.56-116.67,#N/A
Firebird Raceway,bN6J3k76te0dabwj0pUagA,2.5,https://www.yelp.com/biz/firebird-raceway-boise?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,ID,US,43.61,-116.22,#N/A,43.61-116.22,#N/A
Indiana Dunes National Park,HuT1YI38siPSxYpEWFaUbQ,4,https://www.yelp.com/biz/indiana-dunes-national-park-chesterton?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,41.63,-87.09,Indiana Dunes National Park,41.63-87.09,#N/A
National Park Fieldhouse,gyEe3NJmeg_wiyYQTtbx5g,3,https://www.yelp.com/biz/national-park-fieldhouse-morton-grove?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,42.05,-87.8,#N/A,42.05-87.8,#N/A
Garfield Park Conservatory,JfNZVzh052lwZKpIMgsA1g,5,https://www.yelp.com/biz/garfield-park-conservatory-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.89,-87.72,#N/A,41.89-87.72,#N/A
Waterfall Glen Forest Preserve,WqKKvM3sUszaIqneaa8EKA,4.5,https://www.yelp.com/biz/waterfall-glen-forest-preserve-darien-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.72,-87.97,#N/A,41.72-87.97,#N/A
Indiana Dunes State Park,FCWU8ztGXQgCrmiasdcCKQ,4,https://www.yelp.com/biz/indiana-dunes-state-park-chesterton-4?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,41.66,-87.06,#N/A,41.66-87.06,#N/A
Chicago Portage National Historic Site,7y5WkQC7PGPjJ4UGqTcvPA,4.5,https://www.yelp.com/biz/chicago-portage-national-historic-site-lyons?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.81,-87.8,#N/A,41.81-87.8,#N/A
Promontory Point - Chicago Park District,EVeZX_a-luNNopTDrV8JUQ,4.5,https://www.yelp.com/biz/promontory-point-chicago-park-district-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.8,-87.58,#N/A,41.8-87.58,#N/A
Tobey Prinz Beach Park,dVv_aoFWeVzPJfDhl2hNIg,4.5,https://www.yelp.com/biz/tobey-prinz-beach-park-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,42.01,-87.66,#N/A,42.01-87.66,#N/A
Midewin National Tallgrass Prairie,_cN_Q-ZCdxFIrBmuz7utdg,4.5,https://www.yelp.com/biz/midewin-national-tallgrass-prairie-wilmington?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.34,-88.13,#N/A,41.34-88.13,#N/A
Sag Valley Trail System and Forest Preserve,tugNBXmiaOLngzFHrRmAWw,4.5,https://www.yelp.com/biz/sag-valley-trail-system-and-forest-preserve-palos-park?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.68,-87.82,#N/A,41.68-87.82,#N/A
Millennium Park,2DfcXGtDv7T_rnvl4lHzaQ,4.5,https://www.yelp.com/biz/millennium-park-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.88,-87.62,#N/A,41.88-87.62,#N/A
Maple Street Beach House,E-XR6XWjfHgkPiV06Zvu5Q,5,https://www.yelp.com/biz/maple-street-beach-house-winnetka?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,42.11,-87.73,#N/A,42.11-87.73,#N/A
Lake Michigan,0zzG_EkkeFwOUxt5HHzREg,4.5,https://www.yelp.com/biz/lake-michigan-chicago-4?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.99,-87.66,#N/A,41.99-87.66,#N/A
Lake Shore Park,sZ1nIBm0raxcXjMFbN8uVw,4.5,https://www.yelp.com/biz/lake-shore-park-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.9,-87.62,#N/A,41.9-87.62,#N/A
Naperville Riverwalk,UdWVQrigy3OKERNHuInupQ,4.5,https://www.yelp.com/biz/naperville-riverwalk-naperville-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.77,-88.16,#N/A,41.77-88.16,#N/A
Montrose Point Bird Sanctuary,#NAME?,4.5,https://www.yelp.com/biz/montrose-point-bird-sanctuary-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.96,-87.63,#N/A,41.96-87.63,#N/A
Busse Forest Elk Pasture,vY5HgCW5OGJw8t3FsSCSXQ,4.5,https://www.yelp.com/biz/busse-forest-elk-pasture-elk-grove-village?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,42.03,-87.99,#N/A,42.03-87.99,#N/A
Alfred Caldwell Lily Pool,tt7-HNN479qg9lSV7Zw2rw,5,https://www.yelp.com/biz/alfred-caldwell-lily-pool-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.92,-87.65,#N/A,41.92-87.65,#N/A
Volo Bog State Natural Area,biwCZkaNuNO6WphJVwa0jA,4.5,https://www.yelp.com/biz/volo-bog-state-natural-area-ingleside?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,42.35,-88.19,#N/A,42.35-88.19,#N/A
Chicago Lakefront Trail,77iOCPe5MhQfZ_ARAa1fBw,4.5,https://www.yelp.com/biz/chicago-lakefront-trail-chicago?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IL,US,41.94,-87.64,#N/A,41.94-87.64,#N/A
National Road Park,55eYihBu5B6ey00qrVU_Hg,2.5,https://www.yelp.com/biz/national-road-park-cumberland-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.78,-85.96,#N/A,39.78-85.96,#N/A
White River State Park,aIHK5vqew7X2T3fDC57D3w,4.5,https://www.yelp.com/biz/white-river-state-park-indianapolis-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.77,-86.17,#N/A,39.77-86.17,#N/A
Fort Harrison State Park,sJkUmzdBW9K9JC3IiFP6kQ,4.5,https://www.yelp.com/biz/fort-harrison-state-park-indianapolis?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.87,-86.02,#N/A,39.87-86.02,#N/A
Eagle Creek Park,jNSdJeg8q2a9Xm_mJX3d8A,4.5,https://www.yelp.com/biz/eagle-creek-park-indianapolis-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.85,-86.29,#N/A,39.85-86.29,#N/A
Holliday Park,sAVZbkhmIt0Am-iPJcFzig,4.5,https://www.yelp.com/biz/holliday-park-indianapolis-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.87,-86.16,#N/A,39.87-86.16,#N/A
Martin Luther King Memorial Park,pqi4QOI1fC2kGeyxiW_jgw,5,https://www.yelp.com/biz/martin-luther-king-memorial-park-indianapolis?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.79,-86.15,#N/A,39.79-86.15,#N/A
Indianapolis Canal Walk,E9PHQ9oPEWs6jkhJq3JoXg,4.5,https://www.yelp.com/biz/indianapolis-canal-walk-indianapolis?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.77,-86.17,#N/A,39.77-86.17,#N/A
Potter's Bridge Park,SYca1Klh73ntw8hov4mcMw,4.5,https://www.yelp.com/biz/potters-bridge-park-noblesville?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,40.07,-86,#N/A,40.07-86,#N/A
Arsenal Park,BBqGI6kvGvYVnvYEmzfCYg,4,https://www.yelp.com/biz/arsenal-park-indianapolis?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.84,-86.14,#N/A,39.84-86.14,#N/A
Hummel Park,oq-lTnEkh0rVwlym4_C-vA,5,https://www.yelp.com/biz/hummel-park-plainfield?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,IN,US,39.68,-86.39,#N/A,39.68-86.39,#N/A
