Name,Business Id,Rating,Url,State,Country,Latitude,Longitude
Kentuck Art Center & Museum,cHF9vuxd2NdSEeHAS7OHXQ,5.0,https://www.yelp.com/biz/kentuck-art-center-and-museum-northport?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.22,-87.58
Kelly Ingram Park,03YLhd6MyN0ocJBO5hKI5A,4.5,https://www.yelp.com/biz/kelly-ingram-park-birmingham?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AL,US,33.52,-86.81
Flattop Mountain Trail,_HdOQgDmCXBd8ZHYkzO9SA,4.5,https://www.yelp.com/biz/flattop-mountain-trail-anchorage-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.1,-149.67
Chugach State Park,fcZDNKqnPcUMJvOdY2CMLw,5.0,https://www.yelp.com/biz/chugach-state-park-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.05,-149.8
Kenai Fjords Wilderness Lodge,i1GJYirIE5kkFPRvCG5sIw,5.0,https://www.yelp.com/biz/kenai-fjords-wilderness-lodge-anchorage-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.22,-149.89
Seward Highway - Scenic Drive,7xfKxcpHjlZBDFeDOEmUYQ,4.5,https://www.yelp.com/biz/seward-highway-scenic-drive-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,60.97,-149.47
Alaska Photo Treks,iGs8-zV7eNkxaai0Wo53sQ,5.0,https://www.yelp.com/biz/alaska-photo-treks-anchorage-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.22,-149.88
Beluga Point,sQx7l24hRDUDEwnHDHFFLA,4.5,https://www.yelp.com/biz/beluga-point-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.01,-149.69
Brooks Lodge Katmai National Park,VLkhMsF4Qi4hdYq516Mpvg,5.0,https://www.yelp.com/biz/brooks-lodge-katmai-national-park-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.16,-149.99
The Alaska Zoo,2KDT9mFTo9FbZxZCw4Xy8A,4.0,https://www.yelp.com/biz/the-alaska-zoo-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.12,-149.79
Glacier City Snowmobile Tours,EFExS-bhct6HkANP17b-5Q,4.5,https://www.yelp.com/biz/glacier-city-snowmobile-tours-girdwood-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,60.94,-149.17
Kincaid Park,3Mpit3E49quGB04NwFkfkg,5.0,https://www.yelp.com/biz/kincaid-park-anchorage-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.15,-150.04
Portage Glacier,XjiO3gJPLdOLsBnLH4qQGA,4.0,https://www.yelp.com/biz/portage-glacier-girdwood?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,60.8,-148.92
Alaska Helicopter Tours,8B1WpOZaO68WzgqefMLfyg,5.0,https://www.yelp.com/biz/alaska-helicopter-tours-anchorage-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.21,-149.85
Portage Glacier Cruise,J8Hv9CgM59HPV-PA2yLkmw,4.5,https://www.yelp.com/biz/portage-glacier-cruise-girdwood?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,60.77,-148.84
